CPU	 1	 0.05
CPU	 3	 0.033325
CPU	 5	 0.05
CPU	 7	 0.05
CPU	 9	 0.05
CPU	 11	 0.05
CPU	 13	 0.08335
CPU	 15	 0.083325
CPU	 17	 0.06665
CPU	 19	 0.066675
CPU	 21	 0.066675
CPU	 23	 0.05
CPU	 25	 0.066675
CPU	 27	 0.05
CPU	 29	 0.066675
CPU	 31	 0.08335
CPU	 33	 0.266675
CPU	 37	 0.15
CPU	 35	 0.266675
CPU	 39	 0.083325
CPU	 41	 0.06665
CPU	 45	 0.25
CPU	 43	 0.4
CPU	 47	 0.28335
CPU	 49	 0.183325
IO	 0	 75.6333
IO	 2	 75.5666
IO	 4	 75.5333
IO	 6	 75.4833
IO	 8	 75.4667
IO	 10	 75.4333
IO	 12	 75.3833
IO	 14	 75.3166
IO	 16	 75.2333
IO	 18	 75.1834
IO	 20	 75.1167
IO	 22	 75.05
IO	 24	 74.9834
IO	 26	 74.9333
IO	 28	 74.8667
IO	 30	 74.7833
IO	 32	 74.7167
IO	 34	 74.65
IO	 36	 74.5833
IO	 38	 74.4667
IO	 40	 74.3167
IO	 42	 74.2167
IO	 44	 74.15
IO	 46	 74.0667
IO	 48	 73.95
