CPU	 7	 0.08335
CPU	 1	 0.13335
CPU	 9	 0.083325
CPU	 5	 0.15
CPU	 3	 0.066675
CPU	 11	 0.05
CPU	 15	 0.116675
CPU	 13	 0.15
CPU	 19	 0.15
CPU	 17	 0.1
CPU	 25	 0.066675
CPU	 21	 0.083325
CPU	 27	 0.05
CPU	 23	 0.15
CPU	 29	 0.083325
CPU	 35	 0.033325
CPU	 31	 0.06665
CPU	 33	 0.116675
CPU	 39	 0.066675
CPU	 41	 0.05
CPU	 37	 0.06665
CPU	 43	 0.15
CPU	 45	 0.1
CPU	 51	 0.1
CPU	 55	 0.06665
CPU	 49	 0.15
CPU	 47	 0.133325
CPU	 53	 0.133325
CPU	 57	 0.05
CPU	 63	 0.083325
CPU	 59	 0.08335
CPU	 65	 0.066675
CPU	 67	 0.066675
CPU	 61	 0.166675
CPU	 71	 0.066675
CPU	 73	 0.1
CPU	 69	 0.13335
CPU	 75	 0.1
CPU	 79	 0.066675
CPU	 83	 0.08335
CPU	 77	 0.1
CPU	 85	 0.15
CPU	 81	 0.083325
CPU	 89	 0.066675
CPU	 91	 0.083325
CPU	 87	 0.116675
CPU	 97	 0.083325
CPU	 95	 0.166675
CPU	 93	 0.08335
CPU	 99	 0.133325
IO	 8	 144.233
IO	 52	 143.65
IO	 6	 146.583
IO	 24	 146.517
IO	 0	 147.333
IO	 20	 147.283
IO	 40	 146.283
IO	 70	 144.55
IO	 96	 142.9
IO	 16	 147.75
IO	 14	 147.983
IO	 86	 144.033
IO	 32	 147.2
IO	 38	 147
IO	 76	 144.767
IO	 84	 144.183
IO	 2	 148.7
IO	 26	 147.7
IO	 10	 148.433
IO	 62	 145.883
IO	 92	 144.033
IO	 44	 147.083
IO	 36	 147.3
IO	 98	 143.733
IO	 34	 147.617
IO	 46	 147.167
IO	 4	 149
IO	 82	 144.683
IO	 72	 145.417
IO	 54	 146.683
IO	 42	 147.45
IO	 60	 146.267
IO	 64	 146.4
IO	 12	 148.617
IO	 28	 148.083
IO	 58	 146.583
IO	 88	 144.533
IO	 78	 145.35
IO	 18	 148.667
IO	 74	 145.75
IO	 48	 147.45
IO	 66	 146.217
IO	 22	 148.533
IO	 30	 148.183
IO	 68	 146.333
IO	 80	 145.367
IO	 50	 147.417
IO	 94	 144.633
IO	 90	 144.667
IO	 56	 147.217
